Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,URLs,Hashtags,Mentions
1.10029E+18,Very apt programme to listen to on my way to hospital for a night shift! Truly fascinating research involved - do have a listen everyone! P.s. @umairh I particularly loved how the doctor-to-be who diagnosed you became your wife! #cute #howimetyourmother @BBCRadio4 https://t.co/UVRvKa0Mb7,Aaniya Ahmed,aaniyaa29,Tue Feb 26 07:14:26 +0000 2019,1,0,English,Twitter for iPhone,Tweet,,1,2,2
1.10031E+18,Im— howimetyourmother who? https://t.co/YvmeM4r19R,Liiquor duct,kryptwhitetees,Tue Feb 26 08:37:22 +0000 2019,1,0,English,Twitter for iPhone,Tweet,,1,0,0
1.10035E+18,NEXT WEEK! Book for our first #howimetyourmother quiz at @abelheywoodnq its looking busy! Book here: https://t.co/S2uwE7OVxH #quiz #mcr https://t.co/h3sEIzD4T5,Hydes Brewery,HydesBrewery,Tue Feb 26 11:13:02 +0000 2019,0,0,English,Twitter Web Client,Retweet,GIF,1,3,1
1.10037E+18,"He’s 
Legen...wait for it...dary
Legendary ??. 

#Legendary #howimetyourmother #Netflix https://t.co/ipdOqJAW9f",sam ??,samuel_movtv,Tue Feb 26 12:29:09 +0000 2019,2,1,English,Twitter for iPhone,Reply,Photo,0,3,0
1.1004E+18,@AnniTheDuck I See what you did here #HowIMetYourMother,??Lev??,TheRealLevyus,Tue Feb 26 14:03:43 +0000 2019,2,0,English,Twitter for Android,Reply,,0,1,1
1.10043E+18,These Shrimp Tacos from @pocamex1 are the perfect way to kick off your Tuesday! Try it today for lunch or snag some to share with your #trivia team at our #HowIMetYourMother themed trivia game tonight at 7PM! https://t.co/McewbcakSk,Ohio City Galley,OhioCityGalley,Tue Feb 26 16:01:09 +0000 2019,0,0,English,Hootsuite Inc.,Tweet,Photo,0,2,1
1.10043E+18,"@jbeda @GlennF I was in 8th grade when that movie came out.  Throughout all of highschool (93-97), I thought adulthood would be just like Singles.  But, adulthood didn't start for another 10 years, which by then it was more #howimetyourmother and #sexandt",Andre Preoteasa,AndrePreoteasa,Tue Feb 26 16:24:42 +0000 2019,1,0,English,Twitter Web Client,Reply,,0,2,2
1.10044E+18,She was hot in #HowIMetYourMother...#Robin https://t.co/HNCaBC1OH5,Naag,nagarajsana,Tue Feb 26 16:46:06 +0000 2019,0,0,English,Twitter for Android,Tweet,,1,2,0
1.10044E+18,"@MGnPpodcast Isaac used to watch Lost. I'll ask him about that. But speaking of shows with TERRIBLE endings... That was #HowIMetYourMother for us BUT the ending didn't make us hate the show. Overall, that show was still bingeable.",The Bingeables Podcast,bingeablespod,Tue Feb 26 17:11:40 +0000 2019,2,0,English,Twitter Web Client,Reply,,0,1,1
1.10048E+18,Je rattrape mon retard ! How I Met Your Mother - S08 | E20 sur TV Time https://t.co/LXhIsrPnzh #howimetyourmother,GrG,grg1804,Tue Feb 26 19:27:51 +0000 2019,0,0,English,Twitter for Android,Tweet,,1,1,0
1.10048E+18,i really thought Stella was their mother #howimetyourmother,selcouth,evmaa,Tue Feb 26 19:47:38 +0000 2019,1,0,English,Twitter for iPhone,Tweet,,0,1,0
1.10048E+18,"I want to start season 9 SO BAD but I also have to study and I know that I won't if I do that + IF I FINISH THE SERIES MY LIFE WILL BE OVER I CAN'T

#howimetyourmother",?Ylenia loves her Kookie?,artaholic_jjk,Tue Feb 26 19:50:51 +0000 2019,0,0,English,Twitter for Android,Tweet,,0,1,0
1.10051E+18,nearly managed to watch HIMYM all the way through again. what a show!! #himym #howimetyourmother https://t.co/Ejlcttk52Z,Ruairidh McMillan,roorj6,Tue Feb 26 21:19:32 +0000 2019,0,0,English,Twitter for iPhone,Tweet,Photo,0,2,0
1.10055E+18,Article 1: Bros before Hoes!  #TheBroCode  #BarneyStinson  #HowIMetYourMother https://t.co/kGtRETXQfG,jb9180 Social Media Host Revolution,jb9180SMHR,Wed Feb 27 00:13:12 +0000 2019,0,0,English,Twitter Web Client,Tweet,Photo,0,3,0
1.10055E+18,"Marshall: Go back in there! 
Barney: You're wearing a suit! (Ted walks back toward the door) 
#Robin: (from window) Ted? 
#Ted: Hi! (Silence) I was just uh- (hold up Smurf penis, aka French Horn) 
Robin: Come on up.
#HowIMetYourMother #HIMYM #1x01 #TedandRobin #RobinandTed https://t.co/EWI0PpPHuU",SarahG XOXO,sarahg170194,Wed Feb 27 00:17:29 +0000 2019,0,0,English,Twitter for Android,Retweet,Photo,0,7,0
1.10058E+18,Always remember to never pass up on any opportunity. You don’t want to become ‘The Blitz’! #HowIMetYourMother #HIMYM #theblitz @OfficialHIMYM,Abel Alejandro,AbelAlejandro23,Wed Feb 27 02:03:34 +0000 2019,0,0,English,Twitter for iPhone,Tweet,,0,3,1
1.10063E+18,"Ok, let’s do this...
#Friends 
#HowIMetYourMother",??,B52_96_,Wed Feb 27 05:15:32 +0000 2019,0,0,English,Twitter for iPhone,Tweet,,0,2,0
